sc,	sm,	mu_c,	mu_m,	lnZ,	D,	d 
0.01,	0.01,	0.1,	0.1,	-849.0,	23.57,	18.97
0.2311,	0.01,	0.1,	0.1,	-731.0,	28.8,	60.77
0.4522,	0.01,	0.1,	0.1,	-721.5,	24.13,	52.62
0.6733,	0.01,	0.1,	0.1,	-719.0,	25.2,	42.51
0.8944,	0.01,	0.1,	0.1,	-720.3,	21.36,	27.51
1.116,	0.01,	0.1,	0.1,	-717.2,	20.38,	10.25
1.337,	0.01,	0.1,	0.1,	-719.5,	20.64,	77.39
1.558,	0.01,	0.1,	0.1,	-717.1,	21.91,	48.26
1.779,	0.01,	0.1,	0.1,	-718.4,	22.7,	51.22
2.0,	0.01,	0.1,	0.1,	-720.4,	16.61,	17.78
0.01,	0.2311,	0.1,	0.1,	-395.5,	21.18,	9.841
0.2311,	0.2311,	0.1,	0.1,	-279.6,	37.36,	11.76
0.4522,	0.2311,	0.1,	0.1,	-264.1,	24.03,	4.614
0.6733,	0.2311,	0.1,	0.1,	-263.6,	23.45,	5.716
0.8944,	0.2311,	0.1,	0.1,	-262.0,	22.46,	4.363
1.116,	0.2311,	0.1,	0.1,	-265.5,	21.8,	3.127
1.337,	0.2311,	0.1,	0.1,	-263.1,	23.12,	4.957
1.558,	0.2311,	0.1,	0.1,	-263.5,	22.85,	6.425
1.779,	0.2311,	0.1,	0.1,	-261.7,	21.32,	4.21
2.0,	0.2311,	0.1,	0.1,	-264.3,	24.1,	5.38
0.01,	0.4522,	0.1,	0.1,	-382.1,	8.496,	8.286
0.2311,	0.4522,	0.1,	0.1,	-262.9,	21.98,	8.174
0.4522,	0.4522,	0.1,	0.1,	-250.9,	11.48,	2.314
0.6733,	0.4522,	0.1,	0.1,	-248.3,	8.924,	2.207
0.8944,	0.4522,	0.1,	0.1,	-249.1,	9.675,	2.336
1.116,	0.4522,	0.1,	0.1,	-249.0,	9.59,	2.251
1.337,	0.4522,	0.1,	0.1,	-248.0,	8.534,	2.084
1.558,	0.4522,	0.1,	0.1,	-248.6,	9.373,	2.203
1.779,	0.4522,	0.1,	0.1,	-247.8,	8.476,	2.121
2.0,	0.4522,	0.1,	0.1,	-247.5,	8.063,	1.94
0.01,	0.6733,	0.1,	0.1,	-378.9,	5.47,	5.525
0.2311,	0.6733,	0.1,	0.1,	-259.5,	18.99,	5.057
0.4522,	0.6733,	0.1,	0.1,	-249.2,	9.754,	2.508
0.6733,	0.6733,	0.1,	0.1,	-246.4,	6.934,	2.025
0.8944,	0.6733,	0.1,	0.1,	-246.1,	6.738,	2.035
1.116,	0.6733,	0.1,	0.1,	-245.4,	6.074,	1.763
1.337,	0.6733,	0.1,	0.1,	-245.5,	6.154,	1.786
1.558,	0.6733,	0.1,	0.1,	-245.6,	6.254,	1.987
1.779,	0.6733,	0.1,	0.1,	-245.9,	6.339,	2.334
2.0,	0.6733,	0.1,	0.1,	-245.6,	6.449,	1.801
0.01,	0.8944,	0.1,	0.1,	-377.9,	4.695,	7.303
0.2311,	0.8944,	0.1,	0.1,	-259.7,	17.99,	9.75
0.4522,	0.8944,	0.1,	0.1,	-247.8,	8.13,	3.022
0.6733,	0.8944,	0.1,	0.1,	-245.6,	6.228,	2.27
0.8944,	0.8944,	0.1,	0.1,	-245.4,	5.882,	2.225
1.116,	0.8944,	0.1,	0.1,	-244.5,	5.138,	1.941
1.337,	0.8944,	0.1,	0.1,	-244.9,	5.457,	2.104
1.558,	0.8944,	0.1,	0.1,	-244.9,	5.55,	2.104
1.779,	0.8944,	0.1,	0.1,	-245.3,	5.838,	2.325
2.0,	0.8944,	0.1,	0.1,	-244.5,	5.036,	1.861
0.01,	1.116,	0.1,	0.1,	-377.1,	3.62,	6.535
0.2311,	1.116,	0.1,	0.1,	-259.3,	18.53,	7.851
0.4522,	1.116,	0.1,	0.1,	-247.8,	8.326,	2.55
0.6733,	1.116,	0.1,	0.1,	-245.8,	6.508,	1.876
0.8944,	1.116,	0.1,	0.1,	-244.9,	5.529,	1.781
1.116,	1.116,	0.1,	0.1,	-245.0,	5.602,	2.531
1.337,	1.116,	0.1,	0.1,	-244.1,	4.884,	1.618
1.558,	1.116,	0.1,	0.1,	-244.2,	4.889,	2.06
1.779,	1.116,	0.1,	0.1,	-244.7,	5.17,	2.487
2.0,	1.116,	0.1,	0.1,	-244.3,	5.048,	1.938
0.01,	1.337,	0.1,	0.1,	-377.4,	3.888,	6.169
0.2311,	1.337,	0.1,	0.1,	-259.6,	18.85,	9.247
0.4522,	1.337,	0.1,	0.1,	-247.9,	8.419,	2.725
0.6733,	1.337,	0.1,	0.1,	-245.3,	5.946,	2.189
0.8944,	1.337,	0.1,	0.1,	-245.0,	5.602,	2.132
1.116,	1.337,	0.1,	0.1,	-244.5,	5.332,	1.827
1.337,	1.337,	0.1,	0.1,	-243.4,	4.145,	1.777
1.558,	1.337,	0.1,	0.1,	-244.2,	4.847,	1.978
1.779,	1.337,	0.1,	0.1,	-244.6,	4.941,	2.894
2.0,	1.337,	0.1,	0.1,	-244.3,	5.026,	2.082
0.01,	1.558,	0.1,	0.1,	-377.2,	3.683,	5.966
0.2311,	1.558,	0.1,	0.1,	-257.9,	17.52,	6.297
0.4522,	1.558,	0.1,	0.1,	-247.7,	8.448,	2.323
0.6733,	1.558,	0.1,	0.1,	-245.6,	6.217,	2.297
0.8944,	1.558,	0.1,	0.1,	-244.5,	5.347,	1.711
1.116,	1.558,	0.1,	0.1,	-244.4,	4.973,	2.045
1.337,	1.558,	0.1,	0.1,	-244.1,	4.771,	1.809
1.558,	1.558,	0.1,	0.1,	-243.8,	4.533,	1.565
1.779,	1.558,	0.1,	0.1,	-244.5,	5.317,	1.619
2.0,	1.558,	0.1,	0.1,	-244.3,	4.874,	2.066
0.01,	1.779,	0.1,	0.1,	-377.4,	4.079,	8.986
0.2311,	1.779,	0.1,	0.1,	-259.2,	18.23,	7.136
0.4522,	1.779,	0.1,	0.1,	-247.6,	7.917,	3.487
0.6733,	1.779,	0.1,	0.1,	-245.2,	5.658,	2.226
0.8944,	1.779,	0.1,	0.1,	-244.3,	4.878,	2.156
1.116,	1.779,	0.1,	0.1,	-243.5,	4.167,	1.623
1.337,	1.779,	0.1,	0.1,	-243.6,	4.287,	1.691
1.558,	1.779,	0.1,	0.1,	-244.6,	5.252,	1.983
1.779,	1.779,	0.1,	0.1,	-244.3,	4.853,	2.14
2.0,	1.779,	0.1,	0.1,	-244.7,	5.429,	1.875
0.01,	2.0,	0.1,	0.1,	-377.7,	3.969,	5.659
0.2311,	2.0,	0.1,	0.1,	-258.8,	18.06,	6.518
0.4522,	2.0,	0.1,	0.1,	-247.1,	7.606,	2.761
0.6733,	2.0,	0.1,	0.1,	-245.4,	5.916,	1.986
0.8944,	2.0,	0.1,	0.1,	-244.2,	4.953,	1.757
1.116,	2.0,	0.1,	0.1,	-243.8,	4.306,	2.394
1.337,	2.0,	0.1,	0.1,	-244.4,	5.119,	1.831
1.558,	2.0,	0.1,	0.1,	-244.2,	4.63,	2.165
1.779,	2.0,	0.1,	0.1,	-244.5,	5.169,	1.802
2.0,	2.0,	0.1,	0.1,	-244.9,	5.502,	2.09
0.01,	0.01,	0.3111,	0.1,	-802.2,	21.16,	50.61
0.2311,	0.01,	0.3111,	0.1,	-729.0,	31.22,	94.78
0.4522,	0.01,	0.3111,	0.1,	-720.0,	25.13,	32.75
0.6733,	0.01,	0.3111,	0.1,	-717.9,	25.51,	27.15
0.8944,	0.01,	0.3111,	0.1,	-720.4,	24.03,	71.22
1.116,	0.01,	0.3111,	0.1,	-717.4,	24.44,	60.87
1.337,	0.01,	0.3111,	0.1,	-718.0,	21.14,	41.58
1.558,	0.01,	0.3111,	0.1,	-718.2,	22.03,	41.18
1.779,	0.01,	0.3111,	0.1,	-716.5,	21.7,	64.53
2.0,	0.01,	0.3111,	0.1,	-718.4,	22.77,	48.97
0.01,	0.2311,	0.3111,	0.1,	-346.3,	20.03,	9.138
0.2311,	0.2311,	0.3111,	0.1,	-271.7,	30.43,	9.772
0.4522,	0.2311,	0.3111,	0.1,	-264.6,	23.85,	9.301
0.6733,	0.2311,	0.3111,	0.1,	-260.6,	20.28,	5.543
0.8944,	0.2311,	0.3111,	0.1,	-262.6,	22.28,	6.189
1.116,	0.2311,	0.3111,	0.1,	-260.9,	21.34,	2.722
1.337,	0.2311,	0.3111,	0.1,	-262.0,	21.31,	7.687
1.558,	0.2311,	0.3111,	0.1,	-261.6,	21.96,	4.177
